150,Red - BRIGHT,#cf0053
151,Pink,#ffcbd7
152,Tawny - DK,#e1a1a1
153,Lilac,#eac5eb
154,Red - VY DK,#4b233a
155,Forget-me-not Blue,#9774b6
156,Blue - MED,#8577b4
157,Blue - LT,#b5b8ea
158,Blue - DK,#393068
159,Petrol Blue - LT,#bcb5de
160,Petrol Blue - MED,#8178a9
161,Petrol Blue - DK,#60568b
162,Baby Blue - LT,#cae7f0
163,Green,#557a60
164,Green - LT,#bae4b6
165,Green - BRIGHT,#e1f477
166,Lime Green,#adc238
167,Khaki Brown,#855d31
168,Silver Gray,#b1aeb7
169,Pewter Gray,#827d7d
208,Lavender - VY DK,#9442a7
209,Lavender - DK,#ba72c6
210,Lavender - MED,#d49fe1
211,Lavender - LT,#e5bded
221,Shell Pink - VY DK,#792631
223,Shell Pink - LT,#bb6864
224,Shell Pink - VY LT,#e2a598
225,Shell Pink - ULT VY LT,#f8d9cd
300,Mahogany - VY DK,#6c3116
301,Mahogany - MED,#aa5237
3011,Khaki Green - DK,#655935
3012,Khaki Green - MED,#8b7b4e
3013,Khaki Green - LT,#afa97b
3021,Brown Gray - VY DK,#50403b
3022,Brown Gray - MED,#848274
3023,Brown Gray - LT,#a29b86
3024,Brown Gray - VY LT,#beb8ac
3031,Mocha Brown - VY DK,#423014
3032,Mocha Brown - MED,#9d8868
3033,Mocha Brown - VY LT,#dbc7ad
304,Red - MED,#a10c39
3041,Antique Violet - MED,#866a76
3042,Antique Violet - LT,#af98a0
3045,Yellow Beige - DK,#af8152
3046,Yellow Beige - MED,#ceb074
3047,Yellow Beige - LT,#ead8ab
3051,Green Gray - DK,#4c4c1e
3052,Green Gray - MED,#787e5c
3053,Green Gray,#999d75
3064,Desert Sand,#ba7056
307,Lemon,#fde949
3072,Beaver Gray - VY LT,#d2d2ca
3078,Golden Yellow - VY LT,#fcf6b6
309,Rose - DK,#ba2044
310,Black,#000000
311,Blue - MED,#002a64
312,Baby Blue - VY DK,#1f3279
315,Antique Mauve - MED DK,#7d4246
316,Antique Mauve - MED,#bc757f
317,Pewter Gray,#6d6469
318,Steel Gray - LT,#999b9d
319,Pistachio Green - VY DK,#3a553b
320,Pistachio Green - MED,#608c59
321,Red,#bd1136
322,Baby Blue,#3a609d
326,Rose - VY DK,#ac1c37
327,Violet,#5e0f77
3325,Baby Blue - LT,#adcde7
3326,Rose - LT,#f9979c
3328,Salmon - DK,#be444a
333,Blue Violet - VY DK,#6e2e9b
334,Baby Blue - MED,#6085b8
3340,Apricot - MED,#fd6b4f
3341,Apricot,#fd8e78
3345,Hunter Green - DK,#40552e
